Ticker,Name,Description,Price(USD),Start,End,ROI(Pct),Timezone,Duration
ITM,intimate.io,Intimate is a cryptocurrency facilitating payments and trust for the adult industry,0.0,2018-04-26 09:00:00,2018-05-08 09:00:00,0.0,UTC+0,12 days 00:00:00.000000000
ELI,ELIGMA,AIdriven and blockchainbased cognitive commerce platform,0.0,2018-04-17 11:00:00,2018-05-08 11:00:00,0.0,UTC+1,21 days 00:00:00.000000000
PAT,PATRON,PATRON is a one stop shop for social media influencers worldwide whiles using blockchain technology and cryptocurrency,0.0,2018-03-27 08:00:00,2018-05-08 23:59:00,0.0,UTC--9,42 days 15:59:00.000000000
MVP,BlocSide Sports,Innovating Optimizing  Reimagining the Fan Experience with the infusion of Blockchain Technology,0.0,2018-03-29 11:00:00,2018-05-09 11:00:00,0.0,UTC--8,41 days 00:00:00.000000000
NXLS,Nexusless,Peertopeer content delivery network where anyone can monetize the unused capacity of their computers and smartphones,0.0,2018-04-18 12:00:00,2018-05-09 12:00:00,0.0,UTC+0,21 days 00:00:00.000000000
OMX,Shivom,The Global BlockchainGenomics Ecosystem Powering the Next Era of Precision Medicine,0.0,2018-05-03 13:00:00,2018-05-10 23:59:00,0.0,UTC+0,7 days 10:59:00.000000000
PLAT,BitGuild,BitGuild will disrupt the gaming industry by creating a platform for games that live on the blockchain,0.0,2018-04-11 20:11:00,2018-05-11 20:11:00,0.0,UTC+0,30 days 00:00:00.000000000
LNS,Lunes Platform,Lunes is a platform which provides a set of decentralized solutions through blockchain,0.0,2018-04-15 00:00:00,2018-05-15 00:00:00,0.0,UTC--3,30 days 00:00:00.000000000
AMBT,Ambit,Every bit of your future secured on the Blockchain Ambit helps everyone earn from cryptocurrency mining,0.0,2018-04-20 00:00:00,2018-05-15 00:00:00,0.0,UTC+0,25 days 00:00:00.000000000
Arcona,Arcona,Blockchain powered augmented reality ecosystem merging real and virtual worlds worldwide creating augmented reality layer  the Digital Land,0.0,2018-04-15 00:00:00,2018-05-15 00:00:00,0.0,UTC+2,30 days 00:00:00.000000000
eFIC,FIC Network,Earn and Pay Interest on Your Crypto Assets Fixed Income Infrastructure on Blockchain,0.0,2018-01-18 00:00:00,2018-05-15 12:00:00,0.0,UTC+0,117 days 12:00:00.000000000
EMAC,eMarketChain,The blockchainpowered ecommerce platform with 0 commissions on every purchase,0.0,2018-04-15 14:00:00,2018-05-15 14:00:00,0.0,UTC+0,30 days 00:00:00.000000000
BBT,Brickblock,invest Cryptocurrencies in Real World Assets in a process to encourage mainstream adoption,0.15,2018-04-30 13:00:00,2018-05-15 19:00:00,-0.7506999999999999,UTC+0,15 days 06:00:00.000000000
CRGO,CargoCoin,Revolutionaising Global Trade and Transport through Decentralisation with a focus on the shipping industry,0.0,2018-04-16 00:00:00,2018-05-15 23:59:00,0.0,UTC+0,29 days 23:59:00.000000000
SPD,Spindle,Transparency and Autonomy in Investment powered through the use of the unique Blockchain Technology,0.01,2018-05-09 00:00:00,2018-05-15 23:59:00,-0.9092,UTC+0,6 days 23:59:00.000000000
RLTY,SMARTRealty,SMARTRealty is revolutionizing the real estate industry,0.0,2018-02-15 00:00:00,2018-05-15 23:59:00,0.0,UTC+0,89 days 23:59:00.000000000
