rank_cnc,Name,ticker,market_cap,price,volume24,pct1h,pct24h,pct7d
230, Jewel,JWL,"35,499,331",0.648863,"1,735",-0.27,14.39,21.02
231, Bit-Z Token,BZ,"34,276,870",0.261399,"13,549,188",-0.2,-0.92,-3.99
232, PLATINCOIN,PLC,"33,117,170",6.62,"17,536,047",-0.15,1.61,6.81
233, LATOKEN,LA,"31,675,544",0.083334,"47,670",0.02,0.46,-10.46
234, RChain,RHOC,"31,225,897",0.083539,151,-0.13,-1.22,299.90
235, BitcoinHD,BHD,"30,694,835",5.85,"20,009,864",-0.68,-2.16,-16.68
236, 1irstcoin,FST,"29,593,819",0.871273,"139,952",-0.37,-0.52,-8.23
237, USDK,USDK,"28,522,321",0.997281,"30,113,663",-0.37,0.74,0.88
238, Bankera,BNK,"27,674,826",0.001125,"8,074",-0.2,-2.3,4.55
239, Qubitica,QBIT,"27,388,630",33.87,"92,102",-0.05,-1.14,-0.69
240, Bitcoin 2,BTC2,"26,720,724",1.54,"1,104",-2.08,-5.75,-15.25
241, FABRK,FAB,"26,291,008",0.005484,"73,721,474",1.2,10.41,-4.57
242, Telos,TLOS,"24,212,968",0.106551,"241,985",3.77,11.06,33.10
243, Ecoreal Estate,ECOREAL,"23,937,178",0.114576,"1,824",0.08,-1.34,5.23
244, AgaveCoin,AGVC,"22,699,233",0.058111,"6,649",-0.44,1.27,-15.93
245, BHEX Token,BHT,"22,173,459",0.041728,"2,047,351",-1.03,-2.62,-6.20
246, MOAC,MOAC,"22,083,232",0.353539,"22,188",0.11,-2.59,-9.63
247, General Atten...,XAC,"21,852,203",2.19,"1,622",-0.18,-0.46,-5.15
248, BQT,BQTX,"21,465,139",0.054891,"535,430",2.23,-1.71,-11.21
249, Envion,EVN,"21,282,345",0.178536,"1,229",0.32,-5.47,4.48
250, Atlas Protocol,ATP,"20,672,598",0.008025,"409,576",-0.24,-3.79,-9.51
251, MicroBitcoin,MBC,"19,492,522",0.000103,"9,738",1.03,-23.4,-0.38
252, Spectre.ai Di...,SXDT,"19,131,947",0.233107,14,-0.2,4.16,10.90
253, Ultiledger,ULT,"18,912,938",0.029391,"6,713,364",-0.16,-0.72,1.37
254, Wixlar,WIX,"18,677,439",0.007808,"6,276",-0.69,-29.39,12.60
255, GNY,GNY,"18,138,346",0.094286,"38,758",-0.2,0.72,-17.47
256, Santiment Net...,SAN,"17,784,847",0.283829,461,-0.06,-3.96,-2.53
257, BTU Protocol,BTU,"16,448,556",0.234946,"7,199",-0.19,-4.55,-4.92
258, Vitae,VITAE,"16,357,208",0.906931,"47,668",1.16,2.69,11.19
259, Obyte,GBYTE,"14,753,555",20.32,"7,106",0.7,-1.79,-3.06
260, MB8 Coin,MB8,"14,598,693",0.024926,"28,240",-0.2,0.11,-16.20
261, PayPie,PPP,"14,548,115",0.176341,0,-0.13,15.56,110.81
262, Apollo Currency,APL,"14,432,947",0.000983,"485,357",0.16,-12.42,-24.65
263, UnlimitedIP,UIP,"14,373,001",0.011627,"31,945,060",1.69,-2.1,-3.51
264, Tratin,TRAT,"14,138,825",0.000126,8,-0.13,-2.65,-30.34
265, Moeda Loyalty...,MDA,"13,775,590",0.701802,"816,294",-0.13,-1.45,-3.98
266, Vertcoin,VTC,"13,699,017",0.262841,"275,257",-0.4,-1.5,-0.54
267, Telcoin,TEL,"13,677,869",0.000348,"195,322",-1.46,-4.41,-11.70
268, NKN,NKN,"13,664,232",0.029280,"3,627,290",-0.4,-6.2,3.45
269, Function X,FX,"13,544,527",0.106286,"13,423,519",-0.04,-1.6,-9.31
270, Tael,WABI,"13,526,015",0.204940,"634,796",-0.55,-0.38,19.30
271, TTC,TTC,"13,454,405",0.036547,"441,304",1.47,3.52,-2.56
272, IoT Chain,ITC,"13,192,342",0.158059,"5,143,422",2.66,25.13,19.05
273, GreenPower,GRN,"12,974,876",0.004015,"25,060",2.57,-0.96,-12.50
274, Cred,LBA,"12,958,442",0.021471,"12,314,864",0.04,-0.57,1.71
275, Nxt,NXT,"12,432,027",0.012444,"285,532",-1.36,-3.75,-8.00
276, ETERNAL TOKEN,XET,"12,407,290",0.132741,"17,571",-0.18,-5.63,-8.36
277, Theta Fuel,TFUEL,"12,405,714",0.003232,"267,869",-0.43,-1.69,-9.28
278, QuarkChain,QKC,"12,385,664",0.005078,"11,120,125",4.48,6.34,4.39
279, Polymath,POLY,"12,364,673",0.027891,"5,957,661",-0.29,2.23,3.45
280, Loki,LOKI,"12,361,694",0.280931,"17,787",-0.21,-2.93,-11.89
281, BnkToTheFuture,BFT,"11,849,158",0.016232,"471,925",1.06,0.82,7.46
282, FIBOS,FO,"11,773,184",0.011129,"50,093",-1.19,-1.56,-0.54
283, Egretia,EGT,"11,757,184",0.002787,"4,068,279",-1.26,-4.83,-13.76
284, Carry,CRE,"11,755,186",0.003972,"1,929,173",0.38,-4.76,-7.75
285, Wagerr,WGR,"11,585,804",0.061854,"20,097",0.03,2.98,-20.44
286, Monolith,TKN,"11,505,575",0.364165,"16,200",-1.48,-4.04,7.82
287, SingularityNET,AGI,"11,491,775",0.021294,"239,258",-0.66,0.42,-2.60
288, Request,REQ,"11,449,042",0.014589,"99,645",-0.71,-1.2,-3.02
289, Unobtanium,UNO,"11,401,225",56.65,559,0.12,7.24,-5.47
290, Safe,SAFE,"11,400,364",0.547161,"50,667",0.49,-6.91,-14.77
291, IRISnet,IRIS,"11,349,577",0.025254,"55,374,379",0.29,-4.91,-19.05
292, PlayChip,PLA,"11,291,589",0.000806,414,0.04,-6.38,-3.64
293, United Trader...,UTT,"11,226,006",0.299288,"1,294",-0.13,-5.37,1.03
294, NewYork Exchange,NYE,"11,013,633",3.45,0,0.01,-1.22,-1.80
