,Name,Compound,Description,Duration,End,Negative,Neutral,Positive,Price(USD),ROI(Pct),Start,Ticker,Timezone
i,BlocSide Sports,,,,,,,,,,,,
i,PATRON,0.17692500000000005,,,,0.00835,0.9135499999999999,0.07810000000000002,,,,,
i,ELIGMA,0.0,,,,0.0,1.0,0.0,,,,,
i,intimate.io,,,,,,,,,,,,
i,Nickelcoin,0.0772,,,,0.0,0.909,0.091,,,,,
i,CEEK,0.0893111111111111,,,,0.0,0.9750000000000001,0.025,,,,,
i,Paymon,,,,,,,,,,,,
i,Kerberos Coin,,,,,,,,,,,,
i,Decentralized News Network,0.004299999999999998,,,,0.006916666666666667,0.9806666666666666,0.012416666666666666,,,,,
i,Elementh,,,,,,,,,,,,
i,IPStock,,,,,,,,,,,,
i,Etherty,,,,,,,,,,,,
i,WIIX,,,,,,,,,,,,
i,ThinkCoin,,,,,,,,,,,,
i,MediChain.Online,,,,,,,,,,,,
i,Cartel Chain,,,,,,,,,,,,
i,Cryptelo,0.1591,,,,0.0,0.9485,0.0515,,,,,
i,Fox Trading,-0.3387923076923077,,,,0.07761538461538461,0.9166153846153848,0.005769230769230769,,,,,
i,Robotina,0.19972857142857145,,,,0.005214285714285714,0.9296428571428573,0.06514285714285714,,,,,
i,FloraFIC,,,,,,,,,,,,
i,Corl,0.5412600000000001,,,,0.0,0.8522000000000001,0.1478,,,,,
i,Galaxis,-0.5994,,,,0.145,0.855,0.0,,,,,
i,Connectjob,,,,,,,,,,,,
i,AstorGame,,,,,,,,,,,,
i,DapCash,,,,,,,,,,,,
i,Gluon,0.059789999999999996,,,,0.0,0.9749000000000001,0.0251,,,,,
i,Checqit,,,,,,,,,,,,
i,Bitnation,0.29004500000000005,,,,0.0,0.8836499999999999,0.11635,,,,,
i,Otcrit,,,,,,,,,,,,
i,FolleX,,,,,,,,,,,,
i,ALAX,,,,,,,,,,,,
i,Lendingblock,,,,,,,,,,,,
i,SMRT,0.00995000000000001,,,,0.0635,0.8883999999999999,0.0481,,,,,
i,PokerSports,,,,,,,,,,,,
i,Auctus,,,,,,,,,,,,
i,Kryll.io,0.044255,,,,0.0,0.9541999999999999,0.045799999999999993,,,,,
i,DeHedge,,,,,,,,,,,,
i,Rexpax,,,,,,,,,,,,
i,BitCar,,,,,,,,,,,,
i,Ponder,-0.04512499999999999,,,,0.11215000000000001,0.8217999999999999,0.06605,,,,,
i,XYO Network,0.2773733333333333,,,,0.006733333333333333,0.9019333333333334,0.09133333333333334,,,,,
i,Benebit,,,,,,,,,,,,
i,Giftcoin,0.0,,,,0.0,1.0,0.0,,,,,
i,MoneyTap Token,,,,,,,,,,,,
i,Hamster Marketplace,,,,,,,,,,,,
i,BLOCKPIX,,,,,,,,,,,,
i,BITETHER,,,,,,,,,,,,
i,Node,0.208255,,,,0.0,0.93195,0.06804999999999999,,,,,
i,Midex,0.0,,,,0.0,1.0,0.0,,,,,
i,Native Video Box,,,,,,,,,,,,
i,NeuroChain,0.296,,,,0.0,0.949,0.051,,,,,
i,RentAway,,,,,,,,,,,,
i,COTI,0.072865,,,,0.0,0.9712,0.028800000000000003,,,,,
i,MoxyOne,,,,,,,,,,,,
i,iOlite,0.06609000000000001,,,,0.0,0.9813500000000002,0.01865,,,,,
i,Viola.AI,-0.026909090909090907,,,,0.014090909090909091,0.9859090909090908,0.0,,,,,
i,Mosaic,0.240225,,,,0.0358,0.8481500000000001,0.11605000000000001,,,,,
i,FLOGmall,,,,,,,,,,,,
i,RxEAL,,,,,,,,,,,,
i,On.Live,-0.2962999999999999,,,,0.11155000000000001,0.8772500000000001,0.01115,,,,,
i,CUBAAZ,,,,,,,,,,,,
i,MD Tokens,,,,,,,,,,,,
i,Gizer,0.2781,,,,0.0,0.9325,0.0675,,,,,
i,Signals Network,,,,,,,,,,,,
i,VLB,-0.37838999999999995,,,,0.167,0.8111499999999999,0.02185,,,,,
i,Sandblock,0.296,,,,0.0,0.855,0.145,,,,,
i,Bills,0.10465500000000001,,,,0.01865,0.9369,0.04445,,,,,
i,Renteum,,,,,,,,,,,,
i,Bank of Hash Power,,,,,,,,,,,,
i,RepuX,,,,,,,,,,,,
i,R3SEC,,,,,,,,,,,,
i,Thrive,0.52819,,,,0.045000000000000005,0.74285,0.2121,,,,,
i,Vestarin,,,,,,,,,,,,
i,Amon,0.21308000000000002,,,,0.0118,0.91805,0.07015,,,,,
i,Ether Legends (ELET),,,,,,,,,,,,
i,BITTO Exchange,,,,,,,,,,,,
i,HASHBUX,,,,,,,,,,,,
i,Nkor,,,,,,,,,,,,
i,PAYSURA,,,,,,,,,,,,
i,True Reply,,,,,,,,,,,,
i,The Coffee Token,,,,,,,,,,,,
i,Fabric Token,,,,,,,,,,,,
i,Clearcoin,,,,,,,,,,,,
i,Skychain,,,,,,,,,,,,
i,Eroiy,,,,,,,,,,,,
i,Galaxy eSolutions,,,,,,,,,,,,
i,AB-CHAIN,-0.01531,,,,0.0126,0.9772000000000001,0.0102,,,,,
i,Handelion,,,,,,,,,,,,
i,Forty Seven Bank,,,,,,,,,,,,
i,BeefCoin,-0.296,,,,0.128,0.872,0.0,,,,,
i,BitRent,0.0814,,,,0.1005,0.7935,0.106,,,,,
i,Crowdholding,-0.13658181818181817,,,,0.1160909090909091,0.772909090909091,0.11109090909090909,,,,,
i,Thought,0.23723,,,,0.020900000000000002,0.8734,0.10565,,,,,
i,Pitch,0.179015,,,,0.033299999999999996,0.8733999999999996,0.09335000000000002,,,,,
i,Wikibits,,,,,,,,,,,,
i,ENS.BID,,,,,,,,,,,,
i,Requitix,,,,,,,,,,,,
i,CDG,0.019595,,,,0.0,0.9964500000000001,0.0035499999999999998,,,,,
i,WAWLLET,0.22666666666666668,,,,0.0,0.91,0.09000000000000001,,,,,
i,Joy Token,,,,,,,,,,,,
i,Winco,0.12436875,,,,0.002875,0.9711875,0.025937499999999995,,,,,
i,Nami.trade,0.0,,,,0.0,1.0,0.0,,,,,
i,Booleancoin,,,,,,,,,,,,
i,Gilgamesh,0.24476,,,,0.0,0.9294,0.07060000000000001,,,,,
i,SELFLLERY,,,,,,,,,,,,
i,Exenium,,,,,,,,,,,,
i,Vestopia,,,,,,,,,,,,
i,FundFantasy,,,,,,,,,,,,
i,Crypto N Kafe,,,,,,,,,,,,
i,Origami Network,0.8268,,,,0.0,0.7036666666666666,0.29633333333333334,,,,,
i,Cappasity,0.3595,,,,0.0,0.894,0.106,,,,,
i,Viewly,,,,,,,,,,,,
i,AdHive,,,,,,,,,,,,
i,Opporty,,,,,,,,,,,,
i,Globitex,,,,,,,,,,,,
i,NOAH COIN,0.0,,,,0.0,1.0,0.0,,,,,
i,eGold,0.108145,,,,0.0,0.9562499999999998,0.043750000000000004,,,,,
i,VALID,-0.11751999999999999,,,,0.07350000000000002,0.8857499999999998,0.04075,,,,,
i,Capdax,,,,,,,,,,,,
i,AIOM,0.123475,,,,0.0,0.96225,0.03775,,,,,
i,DENARO,0.026269999999999998,,,,0.0,0.9929,0.0070999999999999995,,,,,
i,SyncFab,0.7424,,,,0.0,0.642,0.35799999999999993,,,,,
i,Dragon Inc,0.7786500000000001,,,,0.0,0.8145,0.1855,,,,,
i,VISO,0.26091,,,,0.0,0.9164000000000001,0.08360000000000001,,,,,
i,Play2live,,,,,,,,,,,,
i,Prodeum,,,,,,,,,,,,
i,MyOddz.bet,,,,,,,,,,,,
i,TravelChain Project,,,,,,,,,,,,
i,Refereum,0.28271875,,,,0.006,0.9029375000000001,0.09106249999999999,,,,,
i,Cryptaur,,,,,,,,,,,,
i,LeadCoin,,,,,,,,,,,,
i,Sp8de,,,,,,,,,,,,
i,Scrinium,,,,,,,,,,,,
i,Cryptotask,,,,,,,,,,,,
i,Safe Haven,0.40260909090909086,,,,0.023818181818181818,0.8337272727272727,0.14245454545454547,,,,,
i,Ethic Hub,,,,,,,,,,,,
i,Ocean protocol,0.3182,,,,0.0,0.919,0.081,,,,,
i,Dogezer,,,,,,,,,,,,
i,Telegram,0.032405,,,,0.0105,0.97155,0.01795,,,,,
i,PHI Token,,,,,,,,,,,,
i,Serenity,0.4850149999999999,,,,0.01025,0.84935,0.14040000000000002,,,,,
i,Havven,,,,,,,,,,,,
i,Jet8,,,,,,,,,,,,
i,IP Sharing Exchange,,,,,,,,,,,,
