rank_cnc,Name,Ticker,market_cap,price,volume24,pct1h,pct24h,pct7d,country,platform,pre_ico_end,pre_ico_start,rating,status,type,End,Start,Duration,pre_Duration,compound,negative,neutral,positive,no_of_posts,Longevity,custom_index,custom_index_scaled,success
114, Digitex Futures,DGTX,"33,603,971",0.042740,"1,441,148",-0.08,-2.41,4.76,Seychelles,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.9,Trading,ICO,2018-02-15 00:00:00,2018-01-15 00:00:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000,0.057109,0.0655,0.05192000000000001,0.88261,100,639,27.310859999999998,2.4388737149961624e-05,0
115, Aion,AION,"33,270,759",0.091718,"1,622,779",-0.38,-1.0,2.32,,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.0,Trading,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.1509,0.151,0.11699999999999999,0.732,1,779,71.448322,6.380374233254633e-05,0
122, Elastos,ELA,"31,147,795",1.94,"432,088",0.85,-1.35,-4.86,Singapore,NEO,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Trading,ICO,2018-01-31 00:00:00,2018-01-01 00:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000,-0.173166667,0.011333333000000001,0.979666667,0.009000000000000001,3,654,1268.76,0.0011330098963596897,0
123, Decentraland,MANA,"31,081,953",0.029598,"4,691,779",-0.7,-0.91,-5.97,Argentina,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Trading,ICO,2017-08-26 18:00:00,2017-08-17 04:00:00,9 days 14:00:00.000000000,0 days 00:00:00.000000000,0.5832125,0.02175,0.860375,0.117875,8,812,24.033576,2.1462103854988708e-05,0
124, Populous,PPT,"30,855,147",0.579415,"2,982,164",-1.64,4.26,12.35,United Kingdom,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Trading,ICO,2017-07-25 00:00:00,2017-07-24 00:00:00,1 days 00:00:00.000000000,0 days 00:00:00.000000000,0.43688,0.04464,0.88092,0.07452,25,844,489.02626,0.0004367032214734864,0
129, Kyber Network,KNC,"30,112,341",0.178337,"3,306,097",-0.74,-3.99,0.14,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Trading,ICO,2017-09-18 12:00:00,2017-09-15 12:00:00,3 days 00:00:00.000000000,0 days 00:00:00.000000000,0.615841,0.0315,0.8784700000000001,0.08996,100,789,140.707893,0.00012565293406696448,0
131, Bread,BRD,"29,811,469",0.335965,"1,147,247",0.34,-0.73,-3.62,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.9,Trading,ICO,2017-12-23 16:00:00,2017-12-15 12:00:00,8 days 04:00:00.000000000,0 days 00:00:00.000000000,0.5493,0.08966666699999999,0.04675,0.863666667,24,693,232.823745,0.00020791291503229967,0
132, Thunder Token,TT,"28,839,356",0.009938,"2,105,332",-1.74,-4.13,-4.12,Russia,Graphene,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Closed,ICO,2018-03-15 00:00:00,2017-12-15 00:00:00,90 days 00:00:00.000000000,0 days 00:00:00.000000000,0.6163930000000001,0.04331,0.85349,0.10311,100,611,6.072118,5.4224194672280886e-06,0
134, Ignis,IGNIS,"28,178,642",0.037021,"930,173",-0.25,-2.5,5.84,Netherlands,,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Trading,ICO,2017-10-21 03:00:00,2017-09-09 03:00:00,42 days 00:00:00.000000000,0 days 00:00:00.000000000,0.5719,0.015,0.0,0.985,1,756,27.987876,2.4993316297459794e-05,0
137, Fetch.ai,FET,"27,128,753",0.044615,"14,432,647",0.25,5.62,7.18,Singapore,Ethereum,2018-09-30 00:00:00,2018-03-01 00:00:00,4.6,Closed,ICO,2018-11-30 00:00:00,2018-09-30 00:00:00,61 days 00:00:00.000000000,213 days 00:00:00.000000000,0.582416667,0.0835,0.04,0.8763333329999999,6,351,15.659865,1.3984332195565549e-05,0
139, Civic,CVC,"26,588,746",0.039685,"2,670,610",0.23,-0.64,-5.45,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.0,Trading,ICO,2017-06-28 16:00:00,2017-06-21 16:00:00,7 days 00:00:00.000000000,0 days 00:00:00.000000000,0.7957,0.0504,0.8253,0.1243,10,871,34.565635,3.086729258261169e-05,0
141, IoTeX,IOTX,"25,068,972",0.004642,"2,561,155",-2.38,-7.06,-10.68,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,0.0,Trading,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.6395,0.16325,0.0045,0.8320000000000001,4,779,3.6161180000000006,3.2291974661889708e-06,0
