price,country,platform,End,Start,compound,negative,neutral,positive,no_of_posts,success
0.03,Switzerland,Ethereum,12/27/2017 0:00,11/27/2017 0:00,0.615841,0.0315,0.87847,0.08996,100,0
0.10,United States of America,Ethereum,9/15/2017 3:00,8/25/2017 3:00,0.768,0.103,0.074,0.823,1,0
0.39,Netherlands,Ethereum,12/13/2017 12:00,11/15/2017 12:00,0.501901,0.08831,0.04109,0.87058,100,0
0.01,United States of America,Ethereum,11/30/2017 22:00,11/7/2017 13:00,0.548934,0.05754,0.83771,0.10474,100,0
0.06,Germany,Ethereum,4/2/2018 13:00,3/3/2018 13:00,0.061844,0.0334,0.93236,0.03428,25,0
0.01,,Ethereum,10/30/2017 0:00,10/20/2017 0:00,0.856938462,0.094230769,0.025615385,0.880128205,39,0
0.10,,,12/24/2017 0:00,11/13/2017 0:00,0.451683333,0.063333333,0.032666667,0.903833333,6,0
0.02,Australia,Ethereum,5/15/2018 12:00,1/8/2018 12:00,0.0878,0.016,0.968,0.016,2,0
0.01,United Kingdom,NEO,9/15/2018 0:00,9/11/2018 0:00,0.4349875,0.115375,0.0579375,0.82675,16,0
0.01,Switzerland,Ethereum,12/25/2017 12:00,12/12/2017 12:00,0.7803125,0.0319375,0.8685,0.0996875,16,0
0.00,Estonia,Ethereum,2/28/2018 13:00,2/17/2018 11:00,0.34,0,0.989,0.011,1,0
0.05,Estonia,Ethereum,8/17/2017 14:59,7/16/2017 16:00,0.598152174,0.054782609,0.83826087,0.107,46,0
0.00,Sweden,Ethereum,4/26/2018 12:00,3/15/2018 12:00,0.655192,0.09294,0.03731,0.86979,100,0
0.05,United Kingdom,Ethereum,3/1/2018 0:00,1/29/2018 0:00,0.09505,0.01,0.976,0.014,2,0
0.02,Cayman Islands,Ethereum,1/15/2018 3:00,12/28/2017 3:00,0.504947,0.08211,0.03109,0.88684,100,0
0.01,United States of America,Ethereum,8/1/2017 19:00,7/18/2017 18:00,0.99845,0.023,0.8235,0.1535,2,0
