ticker,compound,negative,neutral,positive,no_of_posts
KEP,0.728799,0.03356,0.85222,0.11424,100
KGT,0.825689231,0.039246154,0.844138462,0.116692308,65
KICK,0.631373494,0.048168675,0.847096386,0.104746988,83
KIN,0.544416667,0.051277778,0.858166667,0.090666667,18
KIND,0.573769,0.05477,0.8301,0.11507,100
KMD,0.721508333,0.010666667,0.88525,0.103916667,12
KNC,0.615841,0.0315,0.87847,0.08996,100
KNT,0.620953,0.03162,0.87697,0.09134,100
KON,0,0,0,0,0
KRC,0.399923,0.03092,0.89473,0.07435,100
KRI,0.0878,0.016,0.968,0.016,2
KRL,0.174466667,0.014,0.969,0.017,3
KVT,0.538083784,0.042459459,0.874540541,0.082945946,37
KYC,0.774855,0.04385,0.84206,0.11404,100
KeY,0.473249,0.0243,0.90195,0.07375,100
LAB,0.607148,0.04182,0.85763,0.1006,100
LBT,0,0,0,0,0
LCD,0.775633333,0.013333333,0.936,0.050333333,6
LDC,0,0,0,0,0
LEND,0.74437,0.04089,0.85124,0.10786,100
LHC,-0.395,0.096,0.796,0.108,1
LIC,0,0,0,0,0
LIKE,0.647041,0.04256,0.84583,0.11156,100
LINK,0.336244,0.03046,0.90739,0.06212,100
LKK,-0.001566667,0.015333333,0.970833333,0.013833333,6
LNC,0.555266667,0.01,0.969666667,0.020333333,3
LND,1,0.026,0.8245,0.1495,2
LNS,0.775551,0.02679,0.85828,0.1149,100
LOAN,0.694129,0.03732,0.85654,0.10609,100
LOL,0.663172222,0.054888889,0.851222222,0.093833333,18
LPG,-0.81,0.049,0.923,0.028,1
LSK,0.50785,0.010333333,0.913,0.076833333,6
LST,0,0,0,0,0
LTD,0.38938,0.03104,0.89473,0.07423,100
LTS,0.525514,0.05202,0.85215,0.0958,100
LUC,0.998,0.017,0.719,0.264,1
LUD,0,0,0,0,0
LUK,0.177,0.0355,0.925,0.0395,2
LUN,-0.3144,0.034666667,0.933333333,0.032,3
LUST,-0.9565,0.177,0.718,0.105,1
LV,0.7184,0.083,0.821,0.096,1
LWF,0.768696,0.03798,0.84863,0.11345,100
LXT,0.37655,0.01,0.97775,0.0125,4
LYM,0.34,0,0.989,0.011,1
Lamb,0.73046,0.0374,0.859,0.1036,5
M2O,0,0,0,0,0
MAN,0.25399,0.05942,0.8528,0.08771,100
MANA,0.5832125,0.02175,0.860375,0.117875,8
MAT,0.92774,0.0172,0.9102,0.0728,5
MBT,0.70938,0.0306,0.839,0.1306,5
MCO,0.591653,0.01564,0.90885,0.07558,100
MCU,0.9714,0.0225,0.8725,0.105,4
MDBLX,0,0,0,0,0
MDC,0,0,0,0,0
MDTK,0.473249,0.0243,0.90195,0.07375,100
MDX,0,0,0,0,0
MED,0.306875,0.050125,0.866625,0.0835,8
MET,0.571553,0.04279,0.83662,0.12052,100
METM,0.651689,0.0404,0.86156,0.09805,100
MFG,0.12925,0.01,0.9785,0.0115,2
MFX,0.781286765,0.04,0.850220588,0.109720588,68
MGO,-0.62885,0.026,0.9605,0.013,2
MIB,0.413715,0.0309,0.89198,0.07713,100
MIC,-0.514595652,0.06026087,0.891826087,0.047913043,23
MIRA,0.9986,0.062,0.775,0.163,1
MLC,-0.7365,0.066,0.9085,0.0255,2
MLT,0,0,0,0,0
MMTM,0,0,0,0,0
MNX,0,0,0,0,0
MPRM,0,0,0,0,0
MPX,0.9882,0.015,0.961,0.024,2
MRK,0.210953521,0.05843662,0.850380282,0.091183099,71
MTC,0.535257143,0.062571429,0.823321429,0.11425,28
MTH,0.0772,0.015,0.97,0.016,1
MTL,0.783107,0.04189,0.84736,0.11083,100
MTN,0.002,0.0495,0.868,0.0825,2
MTP,0.473249,0.0243,0.90195,0.07375,100
MTV,0,0,0,0,0
MVL,0.712914286,0.041142857,0.855857143,0.103142857,7
MVP,0.834936,0.02876,0.86782,0.10338,100
MWAT,0.974,0.021,0.888,0.0905,2
MYB,0,0,0,0,0
MYDFS,0,0,0,0,0
MYST,0,0,0,0,0
MZX,0.927066667,0.043333333,0.870666667,0.085833333,6
NAC,0,0,0,0,0
NAU,0,0,0,0,0
NCASH,0,0,0,0,0
NCC,-0.451333333,0.067,0.869333333,0.063333333,3
NEO,0.081804,0.02167,0.94712,0.0312,100
NEU,0,0,0,0,0
