rank_cnc,Name,Ticker,market_cap,price,volume24,pct1h,pct24h,pct7d,country,platform,pre_ico_end,pre_ico_start,rating,status,type,End,Start,Duration,pre_Duration,compound,negative,neutral,positive,no_of_posts,Longevity,success_PCA
1504.0, EveriToken,EVT,88615,0.000177,0,0.0,0.0,-23.07,Gibraltar,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Closed,ICO,2018-06-15 00:00:00,2018-05-15 00:00:00,30,0,0.30603529399999996,0.069784314,0.04172549,0.8884901959999999,51.0,823.0,0
1992.0, Provoco Token,VOCO,1658,6.63e-08,0,0.0,0.0,0.0,Lithuania,Ethereum,2018-03-31 23:59:59,2018-02-01 00:00:00,2.6,Closed,ICO,2018-10-01 23:59:59,2018-04-01 00:00:00,30,58,-0.639066667,0.0375,0.051,0.911333333,6.0,824.0,0
1335.0, ClearPoll,POLL,181674,0.775424,3,-0.12,10.04,9.5,Australia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.9,Trading,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,31,0,0.64618,0.0089,0.9605,0.0307,10.0,827.0,0
1574.0, ClearCoin,XCLR,67280,0.000352,0,0.0,0.0,26.76,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,ICO,2018-03-31 00:00:00,2017-11-18 00:00:00,15,0,0.22107631600000002,0.074105263,0.043210526,0.882736842,38.0,831.0,0
1731.0, Datacoin,DTC,28722,0.002223,2095,6.24,6.5,-25.82,Belize,Ethereum,2017-12-29 00:00:00,2017-11-29 00:00:00,3.3,Closed,ICO,2018-05-30 00:00:00,2018-03-30 00:00:00,21,30,0.642155,0.07952999999999999,0.04264,0.87777,100.0,834.0,0
978.0, Cloudbric,CLB,724281,0.013566,2184,-0.14,3.42,-3.76,Singapore,Ethereum,2018-09-22 07:00:00,2018-08-23 07:00:00,4.3,Closed,ICO,2018-10-13 07:00:00,2018-10-04 07:00:00,1,30,0.68674,0.0162,0.9342,0.0496,5.0,834.0,0
256.0, BTU Protocol,BTU,17784847,0.283829,461,-0.06,-3.96,-2.53,France,Ethereum,2018-05-09 01:00:00,2018-04-10 08:00:00,3.7,Closed,ICO,2018-06-30 00:00:00,2018-06-01 07:00:00,31,28,0.748301,0.0383,0.86154,0.10013999999999999,100.0,834.0,0
527.0, Aeon,AEON,3764929,0.006275,124990,-0.55,-2.08,-5.27,,,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Trading,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,14,0,0.99845,0.023,0.8235,0.1535,2.0,837.0,0
174.0, Robotina,ROX,17607816,0.000231,220500,-3.08,-3.18,-9.21,Slovenia,Ethereum,2018-03-21 13:59:59,2018-02-21 14:00:00,3.0,Closed,ICO,2018-04-30 13:59:59,2018-03-21 14:00:00,14,27,0.681488889,0.04444444400000001,0.858222222,0.097111111,9.0,842.0,0
446.0, DeepBrain Chain,DBC,5285590,0.031599,19212,0.68,-6.79,-11.04,Denmark,,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Closed,ICO,2018-10-24 00:00:00,2017-10-24 00:00:00,27,0,0.670543,0.11032,0.0448,0.84483,100.0,843.0,0
