rank_cnc,Name,Ticker,market_cap,price,volume24,pct1h,pct24h,pct7d,country,platform,pre_ico_end,pre_ico_start,rating,status,Name_y,type,End,Start,Duration,pre_Duration
458, SwissBorg,CHSB,"5,067,946",0.008801,"31,154",-0.38,-0.26,-6.95,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.8,Trading,SwissBorg,ICO,2018-01-10 00:00:00,2017-12-07 00:00:00,34 days 00:00:00.000000000,0 days 00:00:00.000000000
460, ContentBox,BOX,"4,937,648",0.005329,"136,983",2.15,-9.24,-7.87,Japan,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.3,Closed,BeonBOX,ICO,2018-05-15 06:00:00,2018-03-20 06:00:00,56 days 00:00:00.000000000,0 days 00:00:00.000000000
464, LTO Network,LTO,"4,848,212",0.025999,"346,260",-1.47,-5.05,-8.18,United States of America,Ethereum,2018-01-07 00:00:00,2017-12-25 00:00:00,4.3,Ongoing,Lotus,ICO,2017-09-28 03:00:00,2018-01-10 00:00:00,-104 days +03:00:00.000000000,13 days 00:00:00.000000000
465, VITE,VITE,"4,843,287",0.011666,"68,963",-0.07,-1.12,-2.76,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,2.8,Upcoming,Vite,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
468, TrustVerse,TRV,"4,748,017",0.019835,"1,125,757",-0.41,-2.43,-25.84,,,2017-09-28 03:00:00,2017-09-28 03:00:00,3.3,Closed,Trive,ICO,2017-11-30 00:00:00,2017-10-16 00:00:00,45 days 00:00:00.000000000,0 days 00:00:00.000000000
470, Humanscape,HUM,"4,713,038",0.010151,"69,245",-0.47,4.26,-1.45,Hong Kong,Steem,2018-08-07 04:29:00,2018-07-31 04:30:00,5.0,Closed,Humanscape,ICO,2018-08-31 11:00:00,2018-08-17 11:00:00,14 days 00:00:00.000000000,6 days 23:59:00.000000000
475, Safex Token,SFT,"4,622,404",0.003601,61,-0.2,-10.4,-9.40,Malaysia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.8,Closed,SportsFix,ICO,2018-12-02 12:00:00,2018-10-02 12:00:00,61 days 00:00:00.000000000,0 days 00:00:00.000000000
477, Selfkey,KEY,"4,555,495",0.001588,"2,015,876",0.13,-2.53,-18.48,,,2017-09-28 03:00:00,2017-09-28 03:00:00,1.1,Unknown,KeY' Token,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
480, WePower,WPR,"4,452,659",0.007321,"1,785,926",0.42,-2.71,-5.54,Gibraltar,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,5.0,Trading,WePower,ICO,2018-02-02 00:00:00,2018-02-01 00:00:00,1 days 00:00:00.000000000,0 days 00:00:00.000000000
482, Ambrosus,AMB,"4,450,379",0.030779,"2,786,163",-1.79,0.03,-0.19,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Trading,Ambrosus,ICO,2017-10-13 03:00:00,2017-09-13 03:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
483, Jibrel Network,JNT,"4,440,744",0.026110,"7,272",18.1,9.8,2.14,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Trading,Jibrel Network,ICO,2017-12-27 00:00:00,2017-11-27 00:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
485, Travala.com,AVA,"4,415,366",0.099662,"2,587,477",-0.14,-3.61,-14.65,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Closed,Avalon,ICO,2017-09-15 03:00:00,2017-08-25 03:00:00,21 days 00:00:00.000000000,0 days 00:00:00.000000000
487, GET Protocol,GET,"4,413,198",0.387522,"4,956",-0.32,4.26,5.89,Netherlands,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Trading,GUTS Tickets,ICO,2017-12-13 12:00:00,2017-11-15 12:00:00,28 days 00:00:00.000000000,0 days 00:00:00.000000000
488, Sense,SENSE,"4,413,188",0.008673,0,0.0,0.0,0.00,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Trading,SENSE,ICO,2017-11-30 22:00:00,2017-11-07 13:00:00,23 days 09:00:00.000000000,0 days 00:00:00.000000000
489, Propy,PRO,"4,400,631",0.091826,"97,785",-0.28,-2.39,-8.69,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Trading,Propy,ICO,2017-09-15 16:00:00,2017-08-15 03:00:00,31 days 13:00:00.000000000,0 days 00:00:00.000000000
490, QuickX Protocol,QCX,"4,387,383",0.010575,"318,095",0.03,-2.98,-11.10,Malta,Ethereum,2018-08-25 00:00:00,2018-08-01 07:00:00,5.0,Closed,QuickX Protocol,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,23 days 17:00:00.000000000
492, IPChain,IPC,"4,367,795",0.055245,"267,879",-1.79,-3.13,-20.36,Germany,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Closed,PAYSURA,ICO,2018-04-02 13:00:00,2018-03-03 13:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
493, Cashaa,CAS,"4,327,995",0.005718,331,-0.38,-5.39,-13.26,,Ethereum,2017-10-30 00:00:00,2017-10-20 00:00:00,3.7,Trading,Cashaa,ICO,2017-10-30 00:00:00,2017-10-20 00:00:00,10 days 00:00:00.000000000,10 days 00:00:00.000000000
496, Sealchain,SEAL,"4,286,364",0.023068,"1,287,194",-0.81,-2.77,16.35,Netherlands,Ethereum,2018-05-12 00:00:00,2018-04-15 00:00:00,4.6,Closed,Seal,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,27 days 00:00:00.000000000
497, Emercoin,EMC,"4,277,910",0.095700,"7,678",-0.7,-2.93,22.14,,,2017-09-28 03:00:00,2017-09-28 03:00:00,2.0,Closed,Emiratecoin,ICO,2017-12-24 00:00:00,2017-11-13 00:00:00,41 days 00:00:00.000000000,0 days 00:00:00.000000000
499, Counterparty,XCP,"4,215,060",1.61,16,-0.05,0.18,0.44,,Bitcoin,2017-09-28 03:00:00,2017-09-28 03:00:00,2.6,Trading,Counterparty,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
503, Krios,KRI,"4,142,855",0.023260,"84,562",-0.78,16.82,43.17,Australia,Ethereum,2017-11-30 12:00:00,2017-11-17 12:00:00,4.3,Closed,Krios,ICO,2018-05-15 12:00:00,2018-01-08 12:00:00,127 days 00:00:00.000000000,13 days 00:00:00.000000000
507, Credo,CREDO,"4,062,839",0.007388,0,-0.2,4.16,-1.17,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,2.8,Unknown,BitBounce,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
510, BOLT,BOLT,"4,022,053",0.009748,"1,469,679",1.94,7.6,8.65,United Kingdom,NEO,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Closed,BOLT,ICO,2018-09-15 00:00:00,2018-09-11 00:00:00,4 days 00:00:00.000000000,0 days 00:00:00.000000000
512, SIRIN LABS Token,SRN,"4,003,976",0.008141,"65,358",-0.07,-3.39,-5.59,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Trading,Sirin Labs,ICO,2017-12-25 12:00:00,2017-12-12 12:00:00,13 days 00:00:00.000000000,0 days 00:00:00.000000000
514, QLC Chain,QLC,"3,977,974",0.016575,"33,204",-0.31,-1.74,-6.60,Singapore,NEO,2017-12-07 00:00:00,2017-11-28 00:00:00,4.4,Trading,Qlink,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,9 days 00:00:00.000000000
516, Lympo,LYM,"3,929,878",0.004754,"26,704",-0.46,0.58,-6.98,Estonia,Ethereum,2018-01-30 00:00:00,2018-01-23 12:00:00,5.0,Trading,Lympo,ICO,2018-02-28 13:00:00,2018-02-17 11:00:00,11 days 02:00:00.000000000,6 days 12:00:00.000000000
517, Agrello,DLT,"3,926,091",0.045663,"146,007",-1.35,1.7,5.36,Estonia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Trading,Agrello,ICO,2017-08-17 14:59:59,2017-07-16 16:00:00,31 days 22:59:59.000000000,0 days 00:00:00.000000000
518, DATA,DTA,"3,908,359",0.000400,"892,525",-0.09,5.66,0.81,Sweden,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Closed,DeepToken,ICO,2018-04-26 12:00:00,2018-03-15 12:00:00,42 days 00:00:00.000000000,0 days 00:00:00.000000000
522, Edge,DADI,"3,851,044",0.054196,"7,801",0.01,0.51,0.61,United Kingdom,Ethereum,2018-01-28 00:00:00,2018-01-22 00:00:00,5.0,Trading,DADI,ICO,2018-03-01 00:00:00,2018-01-29 00:00:00,31 days 00:00:00.000000000,6 days 00:00:00.000000000
523, BitMart Token,BMX,"3,848,613",0.023153,"335,910",0.02,-2.82,4.89,Cayman Islands,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Closed,Bitmart,ICO,2018-01-15 03:00:00,2017-12-28 03:00:00,18 days 00:00:00.000000000,0 days 00:00:00.000000000
525, YOYOW,YOYOW,"3,781,581",0.012606,"86,953",-0.14,-3.58,-5.77,,,2017-09-28 03:00:00,2017-09-28 03:00:00,0.7,Trading,YOYOW,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
527, district0x,DNT,"3,764,929",0.006275,"124,990",-0.55,-2.08,-5.27,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Trading,district0x,ICO,2017-08-01 19:00:00,2017-07-18 18:00:00,14 days 01:00:00.000000000,0 days 00:00:00.000000000
529, Aeon,AEON,"3,741,123",0.236309,787,-0.21,-1.93,-4.55,,,2017-09-28 03:00:00,2017-09-28 03:00:00,0.7,Trading,Aeon,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
530, Neumark,NEU,"3,721,069",0.094844,254,-0.09,4.97,1.79,,,2017-09-28 03:00:00,2017-09-28 03:00:00,2.2,Unknown,Neucoin,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
532, Ternio,TERN,"3,687,560",0.011035,0,-1.1,-0.48,2.96,United States of America,Stellar,2018-05-31 00:00:00,2018-02-05 00:00:00,5.0,Trading,Ternio,ICO,2018-06-18 00:00:00,2018-06-01 00:00:00,17 days 00:00:00.000000000,115 days 00:00:00.000000000
534, Infinitus Token,INF,"3,671,063",0.280326,61,-0.08,0.05,2.60,Singapore,Ethereum,2018-07-16 00:00:00,2018-02-01 00:00:00,4.3,Closed,Infinitus Token,ICO,2018-08-15 00:00:00,2018-07-30 00:00:00,16 days 00:00:00.000000000,165 days 00:00:00.000000000
536, Zeepin,ZPT,"3,646,828",0.007294,178,-0.22,43.97,60.83,Singapore,NEO,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Trading,Zeepin,ICO,2018-01-29 12:59:00,2018-01-18 13:00:00,10 days 23:59:00.000000000,0 days 00:00:00.000000000
537, Scry.info,DDD,"3,628,736",0.008246,"271,365",1.77,4.37,-7.66,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Closed,DropDeck,ICO,2017-12-21 00:00:00,2017-11-21 00:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
539, PolySwarm,NCT,"3,618,094",0.002340,"31,285",0.18,-10.91,-11.56,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.8,Trading,PolySwarm,ICO,2018-03-22 19:00:00,2018-02-20 19:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
540, Aeron,ARN,"3,610,459",0.180631,"775,852",-0.72,-1.93,-4.94,Belize,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,Aeron,ICO,2017-10-31 06:00:00,2017-09-19 03:00:00,42 days 03:00:00.000000000,0 days 00:00:00.000000000
541, AirSwap,AST,"3,579,012",0.023860,"2,770,251",-0.54,-3.42,-2.62,United Arab Emirates,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Closed,Afterschool,ICO,2017-10-26 12:00:00,2017-09-26 12:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
542, Sentinel Prot...,UPP,"3,577,524",0.011496,"472,311",-1.27,2.14,3.26,Singapore,ICON,2018-05-26 13:00:00,2018-05-23 13:00:00,4.6,Closed,Sentinel Protocol,ICO,2018-05-27 13:03:00,2018-05-27 13:00:00,0 days 00:03:00.000000000,3 days 00:00:00.000000000
544, Chimpion,BNANA,"3,557,251",0.112119,"246,412",-1.22,-1.65,-4.64,Estonia,Ethereum,2019-06-30 00:00:00,2019-01-01 00:00:00,3.7,Closed,Chimpion,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,180 days 00:00:00.000000000
545, AppCoins,APPC,"3,553,690",0.035518,"47,483",-0.59,-2.33,-5.93,Singapore,Ethereum,2017-11-20 00:00:00,2017-11-06 00:00:00,5.0,Trading,AppCoins,ICO,2018-01-15 00:00:00,2017-12-13 00:00:00,33 days 00:00:00.000000000,14 days 00:00:00.000000000
546, DAOstack,GEN,"3,518,178",0.085196,"1,607",-1.42,2.13,9.08,Israel,Ethereum,2018-05-03 04:00:00,2018-05-01 04:00:00,4.8,Trading,DAOstack,ICO,2018-05-08 17:00:00,2018-05-08 04:00:00,0 days 13:00:00.000000000,2 days 00:00:00.000000000
551, Blockmason Cr...,BCPT,"3,429,902",0.029528,"186,130",-0.61,-1.63,-4.03,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Trading,BlockMason,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
552, Refereum,RFR,"3,427,743",0.000790,"65,491",-0.84,-0.39,-6.47,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Trading,Refereum,ICO,2017-12-13 00:00:00,2017-11-13 00:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
553, BLOCKv,VEE,"3,414,626",0.001283,330,-0.18,-1.42,-7.70,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Trading,BLOCKv,ICO,2017-10-25 07:00:00,2017-10-19 18:00:00,5 days 13:00:00.000000000,0 days 00:00:00.000000000
555, Ubiq,UBQ,"3,400,886",0.079816,"2,155",-0.28,-7.7,-10.79,,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,1.9,Trading,Ubiq,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
557, AIDUS TOKEN,AID,"3,387,660",0.003754,"1,837",1.78,-2.62,4.22,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Trading,AidCoin,ICO,2018-02-01 00:00:00,2018-01-16 00:00:00,16 days 00:00:00.000000000,0 days 00:00:00.000000000
558, Etherparty,FUEL,"3,386,968",0.003387,"188,534",-0.2,0.78,-3.45,Canada,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,Etherparty,ICO,2017-10-29 03:00:00,2017-10-01 03:00:00,28 days 00:00:00.000000000,0 days 00:00:00.000000000
559, AMO Coin,AMO,"3,384,079",0.000256,"463,628",0.71,-4.89,-13.60,Romania,Ethereum,2018-02-28 23:59:59,2018-02-07 00:00:00,3.9,Closed,Amorito,ICO,2018-03-22 23:59:59,2018-03-01 00:00:00,21 days 23:59:59.000000000,21 days 23:59:59.000000000
560, MediShares,MDS,"3,375,473",0.004553,"331,492",-1.36,5.69,9.19,Switzerland,,2018-08-31 00:00:00,2018-06-01 00:00:00,3.9,Closed,Midas,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,91 days 00:00:00.000000000
561, Mobius,MOBI,"3,370,666",0.006544,643,-0.06,-0.01,5.62,United States of America,Stellar,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Trading,Mobius Network,ICO,2017-12-08 12:00:00,2017-11-08 12:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
566, V-ID,VIDT,"3,270,810",0.105254,"1,334,221",-4.97,-9.11,23.47,Netherlands,Ethereum,2018-10-15 00:00:00,2018-09-15 00:00:00,5.0,Closed,V-ID,ICO,2018-12-15 00:00:00,2018-10-15 00:00:00,61 days 00:00:00.000000000,30 days 00:00:00.000000000
568, Ecobit,ECOB,"3,222,959",0.007252,0,0.0,-0.69,29.81,Malaysia,NEM,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Trading,EcoBit,ICO,2017-06-15 15:00:00,2017-04-09 15:00:00,67 days 00:00:00.000000000,0 days 00:00:00.000000000
569, Credit Tag Chain,CTC,"3,222,435",0.053935,0,0.0,0.0,0.00,,,2017-09-28 03:00:00,2017-09-28 03:00:00,1.5,Unknown,CostaCoin,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
571, OneLedger,OLT,"3,179,787",0.008914,"743,857",-3.91,-11.37,22.35,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.9,Closed,OneLedger,ICO,2018-06-16 17:00:00,2018-06-15 15:45:00,1 days 01:15:00.000000000,0 days 00:00:00.000000000
572, VideoCoin,VID,"3,174,052",0.198118,"4,943,194",0.27,2.23,-0.83,United States of America,Own Blockchain,2017-09-28 03:00:00,2017-09-28 03:00:00,0.0,Unknown,VideoCoin,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
573, Xaurum,XAUR,"3,172,092",0.041325,"16,907",-3.22,-2.33,-13.90,Slovenia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.1,Trading,Xaurum Gamma,ICO,2017-09-29 00:00:00,2017-08-01 00:00:00,59 days 00:00:00.000000000,0 days 00:00:00.000000000
574, Endor Protocol,EDR,"3,168,226",0.003816,"1,397,958",0.24,-1.04,-1.67,Israel,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,Endor,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
575, Game.com,GTC,"3,133,440",0.004115,"903,048",-0.59,-2.2,-3.97,China,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.1,Trading,Game.com,ICO,2017-11-30 12:00:00,2017-10-10 12:00:00,51 days 00:00:00.000000000,0 days 00:00:00.000000000
576, BOScoin,BOS,"3,119,399",0.004500,"980,135",-0.28,-0.68,-12.76,South Korea,,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,BOScoin,ICO,2017-05-10 20:00:00,2017-05-10 01:00:00,0 days 19:00:00.000000000,0 days 00:00:00.000000000
