country,platform,pre_ico_end,pre_ico_start,rating,status,Name,type,End,Start,Duration,pre_Duration
Lithuania,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,5.0,Trading,Debitum Network,ICO,2018-02-25 15:00:00,2018-01-25 15:00:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000
Panama,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.7,Trading,Decent.bet,ICO,2017-10-21 12:00:00,2017-09-23 12:00:00,28 days 00:00:00.000000000,0 days 00:00:00.000000000
Belgium,Ethereum,2018-04-25 15:00:00,2018-03-19 15:00:00,4.6,Closed,DatabrokerDAO,ICO,2018-06-30 15:00:00,2018-04-26 15:00:00,65 days 00:00:00.000000000,37 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,0.0,Trading,Dash,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.0,Trading,Civic,ICO,2017-06-28 16:00:00,2017-06-21 16:00:00,7 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.7,Trading,CarTaxi,ICO,2017-10-29 00:00:00,2017-09-29 00:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
Singapore,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,2.6,Unknown,CodeTract,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
Costa Rica,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.5,Trading,BitDice,ICO,2017-09-15 11:54:25,2017-08-15 11:54:20,31 days 00:00:05.000000000,0 days 00:00:00.000000000
Russia,Waves,2017-12-15 12:00:00,2017-12-15 12:00:00,3.0,Trading,Starta,ICO,2017-07-04 23:00:00,2017-07-04 03:00:00,0 days 20:00:00.000000000,0 days 00:00:00.000000000
Spain,Blockchain,2017-12-15 12:00:00,2017-12-15 12:00:00,3.1,Trading,CreativeCoin,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
Singapore,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.5,Trading,COSS,ICO,2017-09-06 07:00:00,2017-08-08 07:00:00,29 days 00:00:00.000000000,0 days 00:00:00.000000000
Switzerland,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.3,Trading,Corion Platform,ICO,2017-07-31 12:00:00,2017-06-18 04:03:36,43 days 07:56:24.000000000,0 days 00:00:00.000000000
Taiwan,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.4,Trading,COBINHOOD,ICO,2017-10-22 00:00:00,2017-09-13 00:00:00,39 days 00:00:00.000000000,0 days 00:00:00.000000000
Switzerland,Ethereum,2017-12-01 00:00:00,2017-10-23 12:00:00,3.9,Closed,Climatecoin,ICO,2018-01-01 00:00:00,2017-12-01 00:00:00,31 days 00:00:00.000000000,38 days 12:00:00.000000000
Switzerland,Blockchain,2017-12-15 12:00:00,2017-12-15 12:00:00,3.7,Trading,Cryptonex,ICO,2017-09-30 00:00:00,2017-09-01 00:00:00,29 days 00:00:00.000000000,0 days 00:00:00.000000000
Russia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.3,Trading,Cindicator,ICO,2017-10-12 15:00:00,2017-09-12 15:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
United Kingdom,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.9,Trading,Ethbits,ICO,2017-05-13 00:00:00,2017-04-15 00:00:00,28 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.3,Trading,EtherSportz,ICO,2018-01-10 00:00:00,2018-01-09 00:00:00,1 days 00:00:00.000000000,0 days 00:00:00.000000000
Russia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.7,Closed,Estate Coin,ICO,2017-10-15 12:00:00,2017-10-05 12:00:00,10 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.4,Closed,ErosCoin,ICO,2017-11-15 12:00:00,2017-10-11 12:00:00,35 days 00:00:00.000000000,0 days 00:00:00.000000000
Georgia,Blockchain,2017-12-15 12:00:00,2017-12-15 12:00:00,2.2,Closed,EQUI,ICO,2017-09-15 13:00:00,2017-08-16 00:12:00,30 days 12:48:00.000000000,0 days 00:00:00.000000000
Estonia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.3,Trading,Emphy,ICO,2017-11-05 12:00:00,2017-10-07 12:00:00,29 days 00:00:00.000000000,0 days 00:00:00.000000000
Cayman Islands,Own Blockchain,2017-12-15 12:00:00,2017-12-15 12:00:00,4.6,Trading,EOS,ICO,2018-06-12 00:00:00,2017-06-26 16:00:00,350 days 08:00:00.000000000,0 days 00:00:00.000000000
