,compound,neg,neu,pos
 Fabric Token,NA,NA,NA,NA
 Social Activi...,NA,NA,NA,NA
 Worldcore,NA,NA,NA,NA
 Signals Network,NA,NA,NA,NA
 AdHive,NA,NA,NA,NA
 Daneel,NA,NA,NA,NA
 Leadcoin,NA,NA,NA,NA
 Patron,NA,NA,NA,NA
 MicroMoney,NA,NA,NA,NA
 InvestFeed,NA,NA,NA,NA
 ClearCoin,NA,NA,NA,NA
 CDX Network,NA,NA,NA,NA
 Fire Lotto,NA,NA,NA,NA
 Save Environm...,NA,NA,NA,NA
 FundRequest,NA,NA,NA,NA
 Exosis,NA,NA,NA,NA
 Emphy,NA,NA,NA,NA
 Hurify,NA,NA,NA,NA
 BitNautic Token,0.9999,0.052,0.776,0.171
 Spectiv,1.0,0.019,0.763,0.218
 International...,NA,NA,NA,NA
 Datarius Credit,NA,NA,NA,NA
 Asura Coin,1.0,0.041,0.736,0.223
 BEAT,0.9984,0.019,0.769,0.212
 Bitcoin Zero,0.9998,0.078,0.737,0.185
 CYCLEAN,NA,NA,NA,NA
 Decimated,NA,NA,NA,NA
 Helpico,NA,NA,NA,NA
 ATBCoin,NA,NA,NA,NA
 BitRent,NA,NA,NA,NA
 BitCoen,NA,NA,NA,NA
 ConnectJob,NA,NA,NA,NA
 Blocklancer,0.9998,0.098,0.702,0.2
 Knekted,NA,NA,NA,NA
 SHPING,NA,NA,NA,NA
 CrowdWiz,NA,NA,NA,NA
 Peerguess,NA,NA,NA,NA
 Ether Kingdom...,NA,NA,NA,NA
 ARAW,NA,NA,NA,NA
 Absolute,0.3182,0.016,0.963,0.02
 Datacoin,0.0,0.0,0.0,0.0
 Intelligent T...,NA,NA,NA,NA
 bitJob,NA,NA,NA,NA
 Creditbit,NA,NA,NA,NA
 Fox Trading,NA,NA,NA,NA
 Advanced Inte...,NA,NA,NA,NA
 BitGuild PLAT,0.0,0.0,0.0,0.0
 Decentralized...,NA,NA,NA,NA
 FidexToken,NA,NA,NA,NA
 Bankcoin,NA,NA,NA,NA
 ALAX,1.0,0.062,0.741,0.197
 Origami,NA,NA,NA,NA
 Ccore,NA,NA,NA,NA
 Cashcoin,NA,NA,NA,NA
 Crystal Clear,NA,NA,NA,NA
 Alpha Coin,0.0,0.0,0.0,0.0
 BowsCoin,NA,NA,NA,NA
 Eternity,0.9393,0.006,0.978,0.016
 Atheios,NA,NA,NA,NA
 Authorship,NA,NA,NA,NA
 Decision Token,NA,NA,NA,NA
 Sharpe Platfo...,NA,NA,NA,NA
 CryptoAds Mar...,NA,NA,NA,NA
 Aigang,NA,NA,NA,NA
 Desire,NA,NA,NA,NA
 e-Chat,NA,NA,NA,NA
 Crystal Token,NA,NA,NA,NA
 Crowdholding,NA,NA,NA,NA
 Cabbage,NA,NA,NA,NA
 BunnyToken,NA,NA,NA,NA
 BROTHER,NA,NA,NA,NA
 ICOCalendar.T...,NA,NA,NA,NA
 Bolenum,NA,NA,NA,NA
 Provoco Token,1.0,0.053,0.665,0.282
 Whole Network,1.0,0.044,0.77,0.187
 CoinEx Token,NA,NA,NA,NA
 Boltt Coin,NA,NA,NA,NA
 CENTERCOIN,NA,NA,NA,NA
 Echoin,NA,NA,NA,NA
 Filecoin [Fut...,NA,NA,NA,NA
 DAD Chain,1.0,0.036,0.764,0.199
 Dexter G,NA,NA,NA,NA
 StarChain,NA,NA,NA,NA
 CoinHe Token,NA,NA,NA,NA
 Dapp Token,1.0,0.032,0.754,0.214
 Tesra,NA,NA,NA,NA
 ChronoCoin,NA,NA,NA,NA
 Game Stars,NA,NA,NA,NA
 DACC,NA,NA,NA,NA
 Consentium,NA,NA,NA,NA
 IOU,0.0,0.0,0.0,0.0
 HitChain,NA,NA,NA,NA
 Coindom,NA,NA,NA,NA
 M2O,NA,NA,NA,NA
 CarBlock,NA,NA,NA,NA
 FundToken,NA,NA,NA,NA
 Experience Token,0.9994,0.076,0.741,0.182
 Esports Token,NA,NA,NA,NA
 Baer Chain,NA,NA,NA,NA
 Celsius,1.0,0.035,0.789,0.176
 EduCoin,NA,NA,NA,NA
 Twinkle,NA,NA,NA,NA
 Atlas Token,NA,NA,NA,NA
 DeepCloud AI,0.7351,0.0,0.977,0.023
 IOV BlockChain,0.8519,0.0,0.827,0.173
 Emanate,1.0,0.034,0.795,0.172
 BiNGO.Fun,NA,NA,NA,NA
 Influence Chain,0.0,0.0,0.0,0.0
 eosBLACK,NA,NA,NA,NA
 Hilux,NA,NA,NA,NA
 EmberCoin,NA,NA,NA,NA
 Lendroid Supp...,NA,NA,NA,NA
 ContractNet,NA,NA,NA,NA
 WeToken,NA,NA,NA,NA
 Hybrid Block,1.0,0.023,0.766,0.21
 Gamblica,NA,NA,NA,NA
 GOLD Reward T...,NA,NA,NA,NA
 ALLCOIN,NA,NA,NA,NA
 Crypto Harbor...,NA,NA,NA,NA
